Connected to Vehicle ECU Database
Automotive Telematics Gateway - Kafka Producer Ready
=== Automotive Telematics Gateway Started ===
Reading from Vehicle ECU Database...
Applying ISO 26262 Security Validation...
Streaming to Cloud Platform...
Processing 200 vehicle battery records...
Transmitted: NASA_BATTERY_2 - Health: 41.89%, Alert: WARNING
Transmitted: NASA_BATTERY_2 - Health: 58.48%, Alert: WARNING
Transmitted: NASA_BATTERY_3 - Health: 72.72%, Alert: WARNING
Transmitted: NASA_BATTERY_4 - Health: 70.82%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 75.31%, Alert: WARNING
Transmitted: NASA_BATTERY_1 - Health: 67.86%, Alert: WARNING
Transmitted: NASA_BATTERY_2 - Health: 58.03%, Alert: WARNING
Transmitted: NASA_BATTERY_3 - Health: 71.14%, Alert: WARNING
Transmitted: NASA_BATTERY_4 - Health: 70.59%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 77.06%, Alert: WARNING
Transmitted: NASA_BATTERY_1 - Health: 71.18%, Alert: CRITICAL
Transmitted: NASA_BATTERY_2 - Health: 55.93%, Alert: WARNING
Transmitted: NASA_BATTERY_3 - Health: 70.8%, Alert: WARNING
Transmitted: NASA_BATTERY_4 - Health: 69.61%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 75.56%, Alert: WARNING
Transmitted: NASA_BATTERY_1 - Health: 63.35%, Alert: WARNING
Transmitted: NASA_BATTERY_2 - Health: 57.7%, Alert: WARNING
Transmitted: NASA_BATTERY_3 - Health: 73.21%, Alert: WARNING
Transmitted: NASA_BATTERY_4 - Health: 68.93%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 81.29%, Alert: WARNING
Transmitted: NASA_BATTERY_1 - Health: 71.84%, Alert: CRITICAL
Transmitted: NASA_BATTERY_2 - Health: 65.73%, Alert: CRITICAL
Transmitted: NASA_BATTERY_3 - Health: 74.1%, Alert: WARNING
Transmitted: NASA_BATTERY_4 - Health: 68.32%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 78.36%, Alert: WARNING
Transmitted: NASA_BATTERY_1 - Health: 69.97%, Alert: WARNING
Transmitted: NASA_BATTERY_2 - Health: 67.76%, Alert: WARNING
Transmitted: NASA_BATTERY_3 - Health: 71.78%, Alert: WARNING
Transmitted: NASA_BATTERY_4 - Health: 85%, Alert: HEALTHY
Transmitted: NASA_BATTERY_5 - Health: 80.01%, Alert: WARNING
Transmitted: NASA_BATTERY_1 - Health: 71.69%, Alert: WARNING
Transmitted: NASA_BATTERY_2 - Health: 61.59%, Alert: WARNING
Transmitted: NASA_BATTERY_3 - Health: 73.1%, Alert: WARNING
Transmitted: NASA_BATTERY_4 - Health: 66.13%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 80.16%, Alert: WARNING
Transmitted: NASA_BATTERY_1 - Health: 65.85%, Alert: WARNING
Transmitted: NASA_BATTERY_2 - Health: 63.53%, Alert: WARNING
Transmitted: NASA_BATTERY_3 - Health: 76.09%, Alert: WARNING
Transmitted: NASA_BATTERY_4 - Health: 69.32%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 77.47%, Alert: WARNING
Transmitted: NASA_BATTERY_1 - Health: 68.56%, Alert: WARNING
Transmitted: NASA_BATTERY_2 - Health: 65.57%, Alert: WARNING
Transmitted: NASA_BATTERY_3 - Health: 72.85%, Alert: WARNING
Transmitted: NASA_BATTERY_4 - Health: 69.01%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 79.05%, Alert: WARNING
Transmitted: NASA_BATTERY_1 - Health: 65.9%, Alert: WARNING
Transmitted: NASA_BATTERY_2 - Health: 58.98%, Alert: CRITICAL
Transmitted: NASA_BATTERY_3 - Health: 71.14%, Alert: WARNING
Transmitted: NASA_BATTERY_4 - Health: 71.74%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 79.75%, Alert: WARNING
Transmitted: NASA_BATTERY_1 - Health: 69.23%, Alert: WARNING
Transmitted: NASA_BATTERY_2 - Health: 54.1%, Alert: WARNING
Transmitted: NASA_BATTERY_3 - Health: 70.15%, Alert: WARNING
Transmitted: NASA_BATTERY_4 - Health: 72.42%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 78.25%, Alert: WARNING
Transmitted: NASA_BATTERY_1 - Health: 68.62%, Alert: CRITICAL
Transmitted: NASA_BATTERY_2 - Health: 61.61%, Alert: WARNING
Transmitted: NASA_BATTERY_3 - Health: 74.11%, Alert: WARNING
Transmitted: NASA_BATTERY_4 - Health: 73.58%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 75.5%, Alert: WARNING
Transmitted: NASA_BATTERY_1 - Health: 72.11%, Alert: WARNING
Transmitted: NASA_BATTERY_2 - Health: 56.29%, Alert: WARNING
Transmitted: NASA_BATTERY_3 - Health: 72.86%, Alert: WARNING
Transmitted: NASA_BATTERY_4 - Health: 66.79%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 79.48%, Alert: WARNING
Transmitted: NASA_BATTERY_1 - Health: 74.07%, Alert: CRITICAL
Transmitted: NASA_BATTERY_2 - Health: 61.1%, Alert: CRITICAL
Transmitted: NASA_BATTERY_3 - Health: 71.64%, Alert: WARNING
Transmitted: NASA_BATTERY_4 - Health: 70.17%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 79.57%, Alert: WARNING
Transmitted: NASA_BATTERY_1 - Health: 67.57%, Alert: WARNING
Transmitted: NASA_BATTERY_2 - Health: 62.87%, Alert: WARNING
Transmitted: NASA_BATTERY_3 - Health: 71.25%, Alert: WARNING
Transmitted: NASA_BATTERY_4 - Health: 66.14%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 76.18%, Alert: WARNING
Transmitted: NASA_BATTERY_1 - Health: 70.71%, Alert: WARNING
Transmitted: NASA_BATTERY_2 - Health: 64.92%, Alert: WARNING
Transmitted: NASA_BATTERY_3 - Health: 71.35%, Alert: WARNING
Transmitted: NASA_BATTERY_4 - Health: 72.48%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 75.78%, Alert: WARNING
Transmitted: NASA_BATTERY_1 - Health: 66.93%, Alert: WARNING
Transmitted: NASA_BATTERY_2 - Health: 60.65%, Alert: WARNING
Transmitted: NASA_BATTERY_3 - Health: 74.93%, Alert: WARNING
Transmitted: NASA_BATTERY_4 - Health: 66.22%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 82.01%, Alert: WARNING
Transmitted: NASA_BATTERY_1 - Health: 65.46%, Alert: WARNING
Transmitted: NASA_BATTERY_2 - Health: 58.89%, Alert: WARNING
Transmitted: NASA_BATTERY_3 - Health: 73.62%, Alert: WARNING
Transmitted: NASA_BATTERY_4 - Health: 66.17%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 76.22%, Alert: WARNING
Transmitted: NASA_BATTERY_1 - Health: 68.42%, Alert: WARNING
Transmitted: NASA_BATTERY_2 - Health: 56.04%, Alert: WARNING
Transmitted: NASA_BATTERY_3 - Health: 73.41%, Alert: WARNING
Transmitted: NASA_BATTERY_4 - Health: 67.95%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 79.08%, Alert: WARNING
Transmitted: NASA_BATTERY_1 - Health: 69.2%, Alert: CRITICAL
Transmitted: NASA_BATTERY_2 - Health: 64.75%, Alert: WARNING
Transmitted: NASA_BATTERY_3 - Health: 68.45%, Alert: WARNING
Transmitted: NASA_BATTERY_4 - Health: 69.86%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 75.21%, Alert: WARNING
Transmitted: NASA_BATTERY_1 - Health: 70.83%, Alert: WARNING
Transmitted: NASA_BATTERY_2 - Health: 54.78%, Alert: WARNING
Transmitted: NASA_BATTERY_3 - Health: 74.48%, Alert: WARNING
Transmitted: NASA_BATTERY_4 - Health: 70.17%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 80.37%, Alert: WARNING
Transmitted: NASA_BATTERY_1 - Health: 68.46%, Alert: WARNING
Transmitted: NASA_BATTERY_2 - Health: 56.96%, Alert: WARNING
Transmitted: NASA_BATTERY_3 - Health: 72.95%, Alert: CRITICAL
Transmitted: NASA_BATTERY_4 - Health: 65.62%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 79.96%, Alert: WARNING
Transmitted: NASA_BATTERY_1 - Health: 70.08%, Alert: WARNING
Transmitted: NASA_BATTERY_2 - Health: 56.61%, Alert: CRITICAL
Transmitted: NASA_BATTERY_3 - Health: 72.15%, Alert: WARNING
Transmitted: NASA_BATTERY_4 - Health: 72.36%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 76.94%, Alert: WARNING
Transmitted: NASA_BATTERY_1 - Health: 70.17%, Alert: WARNING
Transmitted: NASA_BATTERY_2 - Health: 64.1%, Alert: WARNING
Transmitted: NASA_BATTERY_3 - Health: 73.11%, Alert: WARNING
Transmitted: NASA_BATTERY_4 - Health: 68.19%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 82.33%, Alert: WARNING
Transmitted: NASA_BATTERY_1 - Health: 65.6%, Alert: WARNING
Transmitted: NASA_BATTERY_2 - Health: 60.73%, Alert: WARNING
Transmitted: NASA_BATTERY_3 - Health: 73.54%, Alert: CRITICAL
Transmitted: NASA_BATTERY_4 - Health: 73.58%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 77.35%, Alert: WARNING
Transmitted: NASA_BATTERY_1 - Health: 70.89%, Alert: WARNING
Transmitted: NASA_BATTERY_2 - Health: 59.33%, Alert: WARNING
Transmitted: NASA_BATTERY_3 - Health: 75.93%, Alert: WARNING
Transmitted: NASA_BATTERY_4 - Health: 67.97%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 80.38%, Alert: WARNING
Transmitted: NASA_BATTERY_1 - Health: 69.65%, Alert: WARNING
Transmitted: NASA_BATTERY_2 - Health: 58.92%, Alert: WARNING
Transmitted: NASA_BATTERY_3 - Health: 72.39%, Alert: CRITICAL
Transmitted: NASA_BATTERY_4 - Health: 66.94%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 79.68%, Alert: WARNING
Transmitted: NASA_BATTERY_1 - Health: 64.87%, Alert: WARNING
Transmitted: NASA_BATTERY_2 - Health: 55.7%, Alert: CRITICAL
Transmitted: NASA_BATTERY_3 - Health: 75.59%, Alert: WARNING
Transmitted: NASA_BATTERY_4 - Health: 67.51%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 81.18%, Alert: WARNING
Transmitted: NASA_BATTERY_1 - Health: 70.13%, Alert: WARNING
Transmitted: NASA_BATTERY_2 - Health: 65.79%, Alert: WARNING
Transmitted: NASA_BATTERY_3 - Health: 72.14%, Alert: WARNING
Transmitted: NASA_BATTERY_4 - Health: 73.18%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 80.91%, Alert: WARNING
Transmitted: NASA_BATTERY_1 - Health: 68.57%, Alert: WARNING
Transmitted: NASA_BATTERY_2 - Health: 60.15%, Alert: WARNING
Transmitted: NASA_BATTERY_3 - Health: 75.42%, Alert: WARNING
Transmitted: NASA_BATTERY_4 - Health: 69.82%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 75.62%, Alert: WARNING
Transmitted: NASA_BATTERY_1 - Health: 66.19%, Alert: WARNING
Transmitted: NASA_BATTERY_2 - Health: 57.79%, Alert: WARNING
Transmitted: NASA_BATTERY_3 - Health: 74.75%, Alert: WARNING
Transmitted: NASA_BATTERY_4 - Health: 69.57%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 82.98%, Alert: WARNING
Transmitted: NASA_BATTERY_1 - Health: 68.13%, Alert: WARNING
Transmitted: NASA_BATTERY_2 - Health: 63.68%, Alert: WARNING
Transmitted: NASA_BATTERY_3 - Health: 72.36%, Alert: WARNING
Transmitted: NASA_BATTERY_4 - Health: 67.07%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 75.9%, Alert: WARNING
Transmitted: NASA_BATTERY_1 - Health: 66.69%, Alert: WARNING
Vehicle data transmission completed

=== Starting Continuous Database Monitoring ===
Monitoring for database changes every 30 seconds...
Updated vehicle data - 779 records affected
Updated vehicle data - 779 records affected
Updated vehicle data - 779 records affected
Updated vehicle data - 243 records affected
Updated vehicle data - 298 records affected
Detected 2878 database changes - streaming updates...
Transmitted: NASA_BATTERY_5 - Health: 80.75%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 78.19%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 77.16%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 76.82%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 82.39%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 78.87%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 76.79%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 75.36%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 77.67%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 79.67%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 77.37%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 79.31%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 77.04%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 79.86%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 82.54%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 79.44%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 80.44%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 80.53%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 76.74%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 81.97%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 76.85%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 81.33%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 78.36%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 82.47%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 78.48%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 76.9%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 77.84%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 75.66%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 81.39%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 79.41%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 80.93%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 77.23%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 78.01%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 77.35%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 82.27%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 79.36%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 79.07%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 75.93%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 75.37%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 82.11%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 79.14%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 76.45%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 77.29%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 82.88%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 79.49%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 76.26%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 81.52%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 81.68%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 79.01%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 77.79%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 82.86%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 82.25%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 81.07%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 82.37%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 75.73%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 78.3%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 81.82%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 78.26%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 78.44%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 76.35%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 82.48%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 79.29%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 75.07%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 78.64%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 75.98%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 77.72%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 76.84%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 79%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 80.46%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 81.31%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 76.24%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 82.2%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 77.03%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 80.57%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 75.75%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 81.46%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 81.19%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 81.17%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 82.68%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 79.18%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 82.67%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 82.79%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 77.64%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 76.42%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 79.31%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 82.72%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 81.7%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 77.82%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 75.71%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 78.57%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 81.59%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 81.01%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 78.4%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 76.77%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 77.56%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 75.83%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 82.31%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 82.37%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 80.23%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 81.22%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 82.43%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 80.61%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 75.39%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 82%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 80%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 81.59%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 75.34%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 82.73%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 78.76%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 78.07%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 82.69%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 79.76%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 81.02%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 76.63%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 75.13%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 78.74%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 81.57%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 77.05%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 75.18%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 82.78%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 76.37%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 75.14%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 80.54%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 78.54%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 81.26%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 78.09%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 77.87%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 79.45%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 82.95%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 81.97%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 81.41%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 80.62%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 80.46%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 79.44%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 77.49%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 78.57%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 79.15%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 82.28%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 82.72%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 82.44%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 76.03%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 79.93%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 80.18%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 76.69%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 79.39%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 81.49%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 75.97%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 79.23%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 80.96%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 77.28%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 80.68%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 79.59%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 78.72%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 81.33%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 80.55%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 80.45%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 79.75%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 78.74%, Alert: WARNING
Transmitted: NASA_BATTERY_5 - Health: 79.67%, Alert: CRITICAL
Transmitted: NASA_BATTERY_5 - Health: 80.2%, Alert: WARNING
